occurrenceyear,occurrencedayofweek,occurrencehour,count
2014,Friday,0,263
2014,Friday,1,159
2014,Friday,2,163
2014,Friday,3,124
2014,Friday,4,84
2014,Friday,5,65
2014,Friday,6,66
2014,Friday,7,102
2014,Friday,8,153
2014,Friday,9,193
2014,Friday,10,163
2014,Friday,11,172
2014,Friday,12,264
2014,Friday,13,182
2014,Friday,14,231
2014,Friday,15,255
2014,Friday,16,240
2014,Friday,17,239
2014,Friday,18,291
2014,Friday,19,230
2014,Friday,20,288
2014,Friday,21,248
2014,Friday,22,254
2014,Friday,23,311
2015,Friday,0,266
2015,Friday,1,182
2015,Friday,2,162
2015,Friday,3,159
2015,Friday,4,76
2015,Friday,5,103
2015,Friday,6,65
2015,Friday,7,94
2015,Friday,8,182
2015,Friday,9,172
2015,Friday,10,161
2015,Friday,11,174
2015,Friday,12,289
2015,Friday,13,195
2015,Friday,14,202
2015,Friday,15,244
2015,Friday,16,229
2015,Friday,17,270
2015,Friday,18,298
2015,Friday,19,279
2015,Friday,20,286
2015,Friday,21,279
2015,Friday,22,261
2015,Friday,23,285
2016,Friday,0,303
2016,Friday,1,190
2016,Friday,2,182
2016,Friday,3,141
2016,Friday,4,103
2016,Friday,5,77
2016,Friday,6,84
2016,Friday,7,97
2016,Friday,8,154
2016,Friday,9,187
2016,Friday,10,167
2016,Friday,11,206
2016,Friday,12,304
2016,Friday,13,186
2016,Friday,14,199
2016,Friday,15,282
2016,Friday,16,286
2016,Friday,17,256
2016,Friday,18,297
2016,Friday,19,249
2016,Friday,20,292
2016,Friday,21,261
2016,Friday,22,243
2016,Friday,23,293
2017,Friday,0,291
2017,Friday,1,189
2017,Friday,2,176
2017,Friday,3,110
2017,Friday,4,121
2017,Friday,5,96
2017,Friday,6,75
2017,Friday,7,102
2017,Friday,8,176
2017,Friday,9,212
2017,Friday,10,165
2017,Friday,11,189
2017,Friday,12,305
2017,Friday,13,228
2017,Friday,14,219
2017,Friday,15,290
2017,Friday,16,284
2017,Friday,17,304
2017,Friday,18,313
2017,Friday,19,302
2017,Friday,20,284
2017,Friday,21,305
2017,Friday,22,262
2017,Friday,23,273
2018,Friday,0,302
2018,Friday,1,199
2018,Friday,2,193
2018,Friday,3,137
2018,Friday,4,111
2018,Friday,5,88
2018,Friday,6,97
2018,Friday,7,111
2018,Friday,8,153
2018,Friday,9,166
2018,Friday,10,199
2018,Friday,11,192
2018,Friday,12,264
2018,Friday,13,221
2018,Friday,14,245
2018,Friday,15,253
2018,Friday,16,272
2018,Friday,17,289
2018,Friday,18,317
2018,Friday,19,300
2018,Friday,20,288
2018,Friday,21,294
2018,Friday,22,311
2018,Friday,23,329
2014,Monday,0,276
2014,Monday,1,118
2014,Monday,2,126
2014,Monday,3,116
2014,Monday,4,71
2014,Monday,5,66
2014,Monday,6,79
2014,Monday,7,104
2014,Monday,8,175
2014,Monday,9,191
2014,Monday,10,148
2014,Monday,11,153
2014,Monday,12,247
2014,Monday,13,182
2014,Monday,14,197
2014,Monday,15,252
2014,Monday,16,216
2014,Monday,17,213
2014,Monday,18,237
2014,Monday,19,233
2014,Monday,20,219
2014,Monday,21,220
2014,Monday,22,233
2014,Monday,23,203
2015,Monday,0,291
2015,Monday,1,158
2015,Monday,2,151
2015,Monday,3,118
2015,Monday,4,98
2015,Monday,5,80
2015,Monday,6,63
2015,Monday,7,113
2015,Monday,8,155
2015,Monday,9,166
2015,Monday,10,189
2015,Monday,11,177
2015,Monday,12,276
2015,Monday,13,201
2015,Monday,14,188
2015,Monday,15,236
2015,Monday,16,210
2015,Monday,17,214
2015,Monday,18,239
2015,Monday,19,199
2015,Monday,20,241
2015,Monday,21,251
2015,Monday,22,212
2015,Monday,23,193
2016,Monday,0,272
2016,Monday,1,169
2016,Monday,2,143
2016,Monday,3,126
2016,Monday,4,90
2016,Monday,5,90
2016,Monday,6,73
2016,Monday,7,88
2016,Monday,8,171
2016,Monday,9,176
2016,Monday,10,147
2016,Monday,11,163
2016,Monday,12,261
2016,Monday,13,194
2016,Monday,14,185
2016,Monday,15,238
2016,Monday,16,202
2016,Monday,17,223
2016,Monday,18,241
2016,Monday,19,252
2016,Monday,20,264
2016,Monday,21,286
2016,Monday,22,243
2016,Monday,23,214
2017,Monday,0,258
2017,Monday,1,198
2017,Monday,2,163
2017,Monday,3,137
2017,Monday,4,83
2017,Monday,5,79
2017,Monday,6,77
2017,Monday,7,106
2017,Monday,8,150
2017,Monday,9,166
2017,Monday,10,172
2017,Monday,11,215
2017,Monday,12,271
2017,Monday,13,190
2017,Monday,14,210
2017,Monday,15,254
2017,Monday,16,221
2017,Monday,17,233
2017,Monday,18,255
2017,Monday,19,294
2017,Monday,20,236
2017,Monday,21,267
2017,Monday,22,241
2017,Monday,23,242
