occurrenceyear,occurrencemonth,count
2014.0,April,2510
2014.0,August,2763
2014.0,December,2472
2014.0,February,2197
2014.0,January,2443
2014.0,July,2669
2014.0,June,2778
2014.0,March,2422
2014.0,May,2856
2014.0,November,2777
2014.0,October,2903
2014.0,September,2838
2015.0,April,2603
2015.0,August,2911
2015.0,December,2743
2015.0,February,2100
2015.0,January,2430
2015.0,July,2885
2015.0,June,2818
2015.0,March,2398
2015.0,May,2840
2015.0,November,2826
2015.0,October,2893
2015.0,September,2835
2016.0,April,2671
2016.0,August,2728
2016.0,December,2654
2016.0,February,2460
2016.0,January,2591
2016.0,July,2918
2016.0,June,2887
2016.0,March,2634
2016.0,May,2795
2016.0,November,2777
2016.0,October,2876
2016.0,September,2760
2017.0,April,2888
2017.0,August,2990
2017.0,December,2818
2017.0,February,2422
2017.0,January,2651
2017.0,July,3196
2017.0,June,2860
2017.0,March,2634
2017.0,May,2862
2017.0,November,3127
2017.0,October,3061
2017.0,September,2948
2018.0,April,2705
2018.0,August,3079
2018.0,December,2823
2018.0,February,2594
2018.0,January,2963
2018.0,July,2957
2018.0,June,3040
2018.0,March,2951
2018.0,May,3168
2018.0,November,3072
2018.0,October,3117
2018.0,September,2913
